Source_Row,SalePrice_per_GrLivArea,Split,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Month_Sold,Age_At_Sale,Years_Since_Remod,Total_SF,Total_Bathrooms_Equivalent,Total_Porch_SF,Has_Garage,Has_Basement,Has_Pool,Has_2nd_Floor,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Pool QC,Functional,Land Slope,Paved Drive,Alley_Ninguno,Alley_Pave,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Central Air_Y,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_PreCast,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_Ninguno,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_Ninguno,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_Ninguno,Mas Vnr Type_Stone,Misc Feature_Ninguno,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,Street_Pave,Utilities_NoSeWa,Utilities_NoSewr,SalePrice
0,129.83091787439614,all,-0.6,3.55,5.490131175677332,0.0,0.0,-0.2765957446808511,-0.8421052631578947,0.691358024691358,0.3542309009934909,0.0,-0.025839793281653745,0.19517102615694165,1.1560926485397784,0.0,0.0,0.34649476228847703,1.0,0.0,-1.0,0.0,0.0,0.0,0.5,1.0,-0.42857142857142855,0.0,0.19028741328047571,1.25,0.5347985347985348,0.0,0.0,0.0,0.0,0.0,-0.25,1.0,-0.25,0.3191489361702128,0.8947368421052632,0.29269521410579347,0.0,0.4851258581235698,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,215000
1,117.1875,all,-0.6,0.5,0.5500796861591272,-0.5,1.0,-0.2553191489361702,-0.8157894736842105,0.0,0.11990407673860912,144.0,-0.32041343669250644,-0.20321931589537223,-0.37462235649546827,0.0,0.0,-0.878323932312651,0.0,0.0,-1.0,0.0,-1.0,0.0,-0.5,-1.0,-0.40476190476190477,-1.0,0.9910802775024777,0.8333333333333334,-0.37362637362637363,0.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.2978723404255319,0.868421052631579,-0.672544080604534,-1.0,0.4302059496567506,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,105000
2,129.4206170052671,all,-0.6,0.55,1.1986024273630012,0.0,1.0,-0.3191489361702128,-0.8947368421052632,0.6666666666666666,0.7434052757793765,0.0,-0.08613264427217916,0.6961770623742455,0.49748237663645517,0.0,0.0,-0.18049959709911362,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-0.47619047619047616,-1.0,-0.666005946481665,2.3392857142857144,0.15384615384615385,0.0,0.0,0.0,0.0,12500.0,0.0,1.0,0.0,0.3617021276595745,0.9473684210526315,0.2141057934508816,-0.5,1.2036613272311212,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,172000
3,115.63981042654028,all,-0.6,1.15,0.4368027461076376,0.5,0.0,-0.10638297872340426,-0.631578947368421,0.0,0.9379924631723193,0.0,1.0146425495262705,2.267605633802817,2.0704934541792546,0.0,0.0,1.0781627719580984,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.23809523809523808,0.0,0.16650148662041625,0.0,-0.37362637362637363,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,-0.5,0.14893617021276595,0.6842105263157895,1.7879093198992444,1.5,-0.7597254004576659,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,244000
4,116.57458563535911,all,0.2,0.2,1.0914551918597524,-0.5,0.0,0.5106382978723404,0.15789473684210525,0.0,0.5625214114422747,0.0,-0.549526270456503,-0.11066398390342053,-0.31017119838872104,0.9985754985754985,0.0,0.3029814665592264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0,0.007928642220019821,1.2619047619047619,0.12454212454212454,0.0,0.0,0.0,0.0,0.0,-0.75,1.0,-0.75,-0.46808510638297873,-0.10526315789473684,0.11234256926952141,0.5,0.36613272311212813,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,6.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,189900
5,121.88279301745636,all,0.2,0.4,0.1469903150668138,0.0,1.0,0.5319148936170213,0.15789473684210525,0.12345679012345678,0.30352860568687906,0.0,-0.22739018087855298,-0.11468812877263582,-0.31419939577039274,0.9658119658119658,0.0,0.2626913779210314,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.47619047619047616,0.0,-0.03964321110009911,2.142857142857143,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.48936170212765956,-0.10526315789473684,0.08513853904282116,0.5,1.0526315789473684,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,195500
6,159.56651718983557,all,1.4,-1.45,-1.0931715091332597,1.0,0.0,0.5957446808510638,0.23684210526315788,0.0,0.3227132579650565,0.0,0.4582256675279931,0.7142857142857143,0.5156092648539778,0.0,0.0,-0.16599516518936341,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.5476190476190477,0.0,0.4043607532210109,0.0,-0.37362637362637363,170.0,0.0,0.0,0.0,0.0,-0.5,1.0,-0.5,-0.5531914893617021,-0.18421052631578946,0.23224181360201512,1.0,0.018306636155606407,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,6.0,1.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,213500
7,149.609375,all,1.4,-1.35,-1.0723305136692411,1.0,0.0,0.40425531914893614,0.0,0.0,-0.16101404590613225,0.0,0.9664082687338501,0.5975855130784709,0.3987915407854985,0.0,0.0,-0.2594681708299758,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,-1.0,0.3333333333333333,0.0,0.10307234886025768,0.0,0.8278388278388278,0.0,0.0,144.0,0.0,0.0,-1.25,1.0,-1.25,-0.3617021276595745,0.05263157894736842,0.11536523929471033,0.0,0.2745995423340961,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,5.0,1.0,4.0,3.0,0.0,2.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,191500
8,146.3490099009901,all,1.4,-1.55,-0.9781782518082628,1.0,0.0,0.46808510638297873,0.10526315789473684,0.0,1.0955806783144912,0.0,-0.07062876830318691,1.2313883299798793,1.0755287009063443,0.0,0.0,0.28203062046736505,1.0,0.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.40476190476190477,0.0,0.5074331020812686,1.4107142857142858,1.8534798534798536,0.0,0.0,0.0,0.0,0.0,-0.75,1.0,-0.75,-0.425531914893617,-0.05263157894736842,0.7712846347607053,1.0,1.0205949656750573,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,6.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,236500
9,104.76718403547672,all,0.2,-0.5,-0.4605859997548118,0.5,0.0,0.5531914893617021,0.18421052631578946,0.0,-0.5214114422747517,0.0,0.9267872523686477,0.022132796780684104,-0.10876132930513595,1.1054131054131053,0.0,0.5850120870265915,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,-0.1506442021803766,0.8333333333333334,0.5054945054945055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5106382978723404,-0.13157894736842105,0.35516372795969775,0.5,0.15560640732265446,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,189000
