variable,etapa,n_validos,nulos,media,mediana,desv_std,minimo,maximo,skewness,curtosis
Order,antes,2930,0,1465.5,1465.5,845.9624696167082,1.0,2930.0,0.0,-1.2000000000000002
PID,antes,2930,0,714464496.9887372,535453620.0,188730844.64939007,526301100.0,1007100110.0,0.05588588993061072,-1.9951464131561307
MS SubClass,antes,2930,0,57.38737201365188,50.0,42.638024553802126,20.0,190.0,1.357579440916994,1.386774989266581
Lot Frontage,antes,2440,490,69.22459016393442,68.0,23.3653349745034,21.0,313.0,1.499067354883421,11.234850650141528
Lot Area,antes,2930,0,10147.921843003413,9436.5,7880.017759439091,1300.0,215245.0,12.820898171092681,265.0236706029328
Overall Qual,antes,2930,0,6.0948805460750854,6.0,1.4110260835519746,1.0,10.0,0.19063395602395453,0.05241244955587687
Overall Cond,antes,2930,0,5.563139931740614,5.0,1.1115365600303264,1.0,9.0,0.5744294770321869,1.4914497216546532
Year Built,antes,2930,0,1971.3563139931741,1973.0,30.24536062937473,1872.0,2010.0,-0.6044622213681587,-0.5017150400504091
Year Remod/Add,antes,2930,0,1984.266552901024,1993.0,20.860285876849307,1950.0,2010.0,-0.4518626526946543,-1.3415159352527108
Mas Vnr Area,antes,2907,23,101.8968008255934,0.0,179.11261057727674,0.0,1600.0,2.606984784742485,9.28663406234206
BsmtFin SF 1,antes,2929,1,442.6295664049164,370.0,455.5908390911526,0.0,5644.0,1.416182206786989,6.859284774114057
BsmtFin SF 2,antes,2929,1,49.72243086377603,0.0,169.16847559158177,0.0,1526.0,4.139978473979118,18.781481351086803
Bsmt Unf SF,antes,2929,1,559.2625469443497,466.0,439.49415280392384,0.0,2336.0,0.9230527428629574,0.4095253340903917
Total Bsmt SF,antes,2929,1,1051.6145442130419,990.0,440.61506696179697,0.0,6110.0,1.156204321548864,9.135612333071672
1st Flr SF,antes,2930,0,1159.5576791808874,1084.0,391.89088525349194,334.0,5095.0,1.4694286403471462,6.968808529149728
2nd Flr SF,antes,2930,0,335.45597269624574,0.0,428.39571500882624,0.0,2065.0,0.8664567507736957,-0.41486129684727935
Low Qual Fin SF,antes,2930,0,4.67679180887372,0.0,46.3105100344704,0.0,1064.0,12.118161563533523,175.6069495183154
Gr Liv Area,antes,2930,0,1499.6904436860068,1442.0,505.508887472041,334.0,5642.0,1.2741097164955077,4.137838193203049
Bsmt Full Bath,antes,2928,2,0.43135245901639346,0.0,0.5248201879465192,0.0,3.0,0.6166390019959825,-0.7479887874371105
Bsmt Half Bath,antes,2928,2,0.061133879781420764,0.0,0.2452535662517102,0.0,2.0,3.940795464335767,14.921740331996938
Full Bath,antes,2930,0,1.5665529010238908,2.0,0.5529406116455408,0.0,4.0,0.17195207751092292,-0.5414370373446293
Half Bath,antes,2930,0,0.3795221843003413,0.0,0.5026292533151646,0.0,2.0,0.6977130658109044,-1.0303406399859005
Bedroom AbvGr,antes,2930,0,2.8542662116040955,3.0,0.8277311419853731,0.0,8.0,0.30569421135922614,1.8914206588618145
Kitchen AbvGr,antes,2930,0,1.0443686006825939,1.0,0.2140762443917087,0.0,3.0,4.313824595352703,19.869743085330327
TotRms AbvGrd,antes,2930,0,6.443003412969284,6.0,1.572964396334462,2.0,15.0,0.7535425619291304,1.1545881786973982
Fireplaces,antes,2930,0,0.5993174061433447,1.0,0.647920916551218,0.0,4.0,0.739215201197961,0.10150847762551596
Garage Yr Blt,antes,2771,159,1978.1324431613136,1979.0,25.52841125092427,1895.0,2207.0,-0.38467176161174854,1.8265782142751212
Garage Cars,antes,2929,1,1.7668146124957322,2.0,0.7605663649343575,0.0,5.0,-0.2198363641384971,0.24496944790728836
Garage Area,antes,2929,1,472.8197336975077,480.0,215.04654854103083,0.0,1488.0,0.2419942395445727,0.9510229895406077
Wood Deck SF,antes,2930,0,93.75187713310581,0.0,126.36156187890577,0.0,1424.0,1.8426780991633038,6.753955237649608
Open Porch SF,antes,2930,0,47.53344709897611,27.0,67.48340013677367,0.0,742.0,2.535385919205803,10.95434330090372
Enclosed Porch,antes,2930,0,23.01160409556314,0.0,64.13905920864133,0.0,1012.0,4.014445674931346,28.48720509614564
3Ssn Porch,antes,2930,0,2.592491467576792,0.0,25.141331031869438,0.0,508.0,11.403794862216518,149.98870127084257
