variable,n_iqr,pct_iqr,n_zscore,pct_zscore,lim_inf,lim_sup,skewness,curtosis
SalePrice,137.0,4.68,45.0,1.54,3500.0,339500.0,1.744,5.119
Gr Liv Area,75.0,2.56,25.0,0.85,200.88,2667.88,1.274,4.138
Lot Area,127.0,4.33,29.0,0.99,1267.75,17727.75,12.821,265.024
Lot Frontage,206.0,7.03,26.0,0.89,30.0,110.0,1.501,12.869
Total Bsmt SF,124.0,4.23,21.0,0.72,30.25,2064.25,1.151,9.107
1st Flr SF,43.0,1.47,29.0,0.99,114.62,2145.62,1.469,6.969
2nd Flr SF,8.0,0.27,10.0,0.34,-1055.62,1759.38,0.866,-0.415
Garage Area,42.0,1.43,17.0,0.58,-64.0,960.0,0.24,0.948
Mas Vnr Area,203.0,6.93,63.0,2.15,-244.12,406.88,2.619,9.369
Wood Deck SF,67.0,2.29,42.0,1.43,-252.0,420.0,1.843,6.754
Open Porch SF,159.0,5.43,52.0,1.77,-105.0,175.0,2.535,10.954
Misc Val,103.0,3.52,19.0,0.65,0.0,0.0,22.0,566.203
Pool Area,13.0,0.44,13.0,0.44,0.0,0.0,16.939,299.775
