variable,media_antes,media_despues,var_media_%,skew_antes,skew_despues,curtosis_antes,curtosis_despues,nulos_antes,nulos_despues
1st Flr SF,1159.56,1155.46,-0.35,1.469,0.943,6.969,1.662,0,0
2nd Flr SF,335.46,333.83,-0.48,0.866,0.848,-0.415,-0.51,0,0
3Ssn Porch,2.59,2.6,0.17,11.404,11.394,149.989,149.726,0,0
Bedroom AbvGr,2.85,2.85,-0.02,0.306,0.307,1.891,1.898,0,0
Bsmt Full Bath,0.43,0.43,-0.29,0.617,0.617,-0.748,-0.755,2,0
Bsmt Half Bath,0.06,0.06,-1.02,3.941,3.968,14.922,15.159,2,0
Bsmt Unf SF,559.26,558.76,-0.09,0.923,0.925,0.41,0.413,1,0
BsmtFin SF 1,442.63,437.95,-1.06,1.416,0.822,6.859,0.087,1,0
BsmtFin SF 2,49.72,49.79,0.14,4.14,4.137,18.781,18.75,1,0
Enclosed Porch,23.01,23.05,0.17,4.014,4.011,28.487,28.438,0,0
Fireplaces,0.6,0.6,-0.4,0.739,0.732,0.102,0.079,0,0
Full Bath,1.57,1.56,-0.11,0.172,0.165,-0.541,-0.554,0,0
Garage Area,472.82,471.72,-0.23,0.242,0.212,0.951,0.875,1,0
Garage Cars,1.77,1.76,-0.13,-0.22,-0.221,0.245,0.25,1,0
Garage Yr Blt,1978.13,1976.17,-0.1,-0.385,-0.693,1.827,-0.26,159,0
Gr Liv Area,1499.69,1493.98,-0.38,1.274,0.879,4.138,1.072,0,0
Half Bath,0.38,0.38,-0.28,0.698,0.703,-1.03,-1.021,0,0
Kitchen AbvGr,1.04,1.04,0.01,4.314,4.31,19.87,19.828,0,0
Lot Area,10147.92,10103.58,-0.44,12.821,13.2,265.024,278.645,0,0
Lot Frontage,69.22,69.3,0.11,1.499,1.088,11.235,8.565,490,0
Low Qual Fin SF,4.68,4.68,0.17,12.118,12.108,175.607,175.301,0,0
MS SubClass,57.39,57.4,0.02,1.358,1.357,1.387,1.38,0,0
Mas Vnr Area,101.9,99.92,-1.94,2.607,2.578,9.287,9.151,23,0
Misc Val,50.64,44.91,-11.31,22.0,22.225,566.203,608.858,0,0
Mo Sold,6.22,6.22,0.01,0.193,0.196,-0.455,-0.451,0,0
Open Porch SF,47.53,47.17,-0.77,2.535,2.495,10.954,10.831,0,0
Order,1465.5,1464.79,-0.05,0.0,0.002,-1.2,-1.201,0,0
Overall Cond,5.56,5.56,0.01,0.574,0.573,1.491,1.486,0,0
Overall Qual,6.09,6.09,-0.11,0.191,0.172,0.052,0.029,0,0
PID,714464496.99,714393108.54,-0.01,0.056,0.057,-1.995,-1.995,0,0
Pool Area,2.24,1.89,-15.6,16.939,18.744,299.775,368.015,0,0
SalePrice,180796.06,180411.57,-0.21,1.744,1.591,5.119,3.84,0,0
Screen Porch,16.0,16.03,0.17,3.957,3.953,17.859,17.822,0,0
TotRms AbvGrd,6.44,6.43,-0.14,0.754,0.705,1.155,0.93,0,0
Total Bsmt SF,1051.61,1046.49,-0.49,1.156,0.395,9.136,1.252,1,0
Wood Deck SF,93.75,93.39,-0.38,1.843,1.848,6.754,6.827,0,0
Year Built,1971.36,1971.3,-0.0,-0.604,-0.602,-0.502,-0.503,0,0
Year Remod/Add,1984.27,1984.23,-0.0,-0.452,-0.45,-1.342,-1.344,0,0
Yr Sold,2007.79,2007.79,0.0,0.135,0.133,-1.158,-1.159,0,0
